BLD_BladeList,StatusID,Reference,CHR_Bl,
BLD_BladeModelList,Gender,Reference,MNU_Msg_Gender,
BLD_BladeModelList,QuestRace,Reference,MNU_Msg_Race,
BLD_CommonList,ArtsAchievementSet*,Reference,FLD_AchievementSet,
BLD_CommonList,Fskill,Enum,FieldSkillCategory,
BLD_CommonList,FskillAchivementSet*,Reference,FLD_AchievementSet,
BLD_CommonList,Gender,Reference,MNU_Msg_Gender,
BLD_CommonList,IdeaType,Enum,IdeaCategoryBits,
BLD_CommonList,KeyAchievementSet,Reference,FLD_AchievementSet,
BLD_CommonList,ModelTable,Reference,BLD_BladeModelList,
BLD_CommonList,QuestRace,Reference,MNU_Msg_Race,
BLD_CommonList,SkillAchievementSet*,Reference,FLD_AchievementSet,
BLD_NameList,Category,Message,bld_bladename,
BLD_NameList,Gender,Reference,MNU_Msg_Gender,
BLD_NameList,sort*,Hide,,
BLD_RareList,Blade,Reference,CHR_Bl,
BLD_RareList,Condition,Reference,FLD_ConditionList,
BTL_Arts_Bl,ArtsType,Enum,ArtType,
BTL_Arts_Bl,BtnChal1,Reference,MNU_BtnChallenge2,
BTL_Arts_Bl,Caption,Message,btl_arts_bl_ms,
BTL_Arts_Bl,Enhance*,Reference,BTL_Enhance,
BTL_Arts_Bl,Name,Message,btl_arts_bl_ms,
BTL_Arts_Bl,RangeType,Enum,ArtRangeType,
BTL_Arts_Bl,WpnType,Reference,ITM_PcWpnType,
BTL_Arts_BlSp,AddBl,Reference,CHR_Bl,
BTL_Arts_BlSp,ArtsType,Enum,ArtType,
BTL_Arts_BlSp,BtnChal*,Reference,MNU_BtnChallenge2,
BTL_Arts_BlSp,Caption,Message,btl_arts_blsp_ms,
BTL_Arts_BlSp,Enhance,Reference,BTL_Enhance,
BTL_Arts_BlSp,Name,Message,btl_arts_blsp_ms,
BTL_Arts_BlSp,WpnType,Reference,ITM_PcWpnType,
BTL_Arts_Dr,ArtsType,Enum,ArtType,
BTL_Arts_Dr,Caption,Message,btl_arts_dr_cap,
BTL_Arts_Dr,Driver,Reference,CHR_Dr,
BTL_Arts_Dr,Enhance*,Reference,BTL_Enhance,
BTL_Arts_Dr,Name,Message,btl_arts_dr_ms,
BTL_Arts_Dr,NextArts,Reference,BTL_Arts_Dr,
BTL_Arts_Dr,RangeType,Enum,ArtRangeType,
BTL_Arts_Dr,WpnType,Reference,ITM_PcWpnType,
BTL_Arts_En,ArtsBuff,Reference,BTL_Buff,
BTL_Arts_En,ArtsDeBuff,Reference,BTL_Buff,
BTL_Arts_En,ArtsType,Enum,ArtType,
BTL_Arts_En,Enhance,Reference,BTL_Enhance,
BTL_Arts_En,Name,Message,btl_arts_en_ms,
BTL_Aura,Enhance*,Reference,BTL_Enhance,
BTL_Aura,Name,Message,btl_aura_ms,
BTL_Bl_Personality,BLC_*,Character,,
BTL_Bl_Personality,KizunaBase,Reference,BTL_Bl_KizunaBase,
BTL_Buff,Caption,Message,btl_buff_cap,
BTL_Buff,Name,Message,btl_buff_ms,
BTL_Class,Name,Message,btl_class_ms,
BTL_Class,Role*,Message,menu_role_name_ms,
BTL_CmnBl_Armor,WpnType,Reference,ITM_PcWpnType,
BTL_CmnBl_NewBlArts,WpnType,Reference,ITM_PcWpnType,
BTL_CmnBl_StatusType,WpnType,Reference,ITM_PcWpnType,
BTL_Condition,FLD_CondID,Reference,FLD_ConditionList,
BTL_ElementalCombo,Atr,Reference,MNU_Msg_Attr,1
BTL_ElementalCombo,Name,Message,btl_elementalcombo_ms,
BTL_ElementalCombo,PreCombo,Reference,BTL_ElementalCombo,
BTL_ElementalCombo,Reaction,Reference,BTL_Reaction,
BTL_ElementalEffect,Atr1,Reference,MNU_Msg_Attr,1
BTL_ElementalEffect,Caption,Message,btl_buff_ms,
BTL_ElementalEffect,Name,Message,btl_elementaleffect_ms,
BTL_EnBook,BaseEnemyID,Reference,CHR_EnArrange,
BTL_EnDropItem,ItemID*,Item,,
BTL_EnDropQuest,GetConditon*,Reference,FLD_ConditionList,
BTL_EnDropQuest,ItemID*,Item,,
BTL_Enhance,Caption,Enhance,,
BTL_Enhance,EnhanceEffect,Reference,BTL_EnhanceEff,
BTL_EnhanceEff,Name,Message,btl_buff_ms,
BTL_FightCombo,Name,Message,btl_fightcombo_ms,
BTL_FightCombo,Reaction,Reference,BTL_Reaction,
BTL_HanaChipset,AtrParts,Item,,
BTL_HanaChipset,NArtsParts*,Item,,
BTL_HanaChipset,RoleParts,Item,,
BTL_PouchBuff,Name,Message,btl_pouchbuff_ms,
BTL_PouchBuffSet,PBuff1,PouchBuff,PBuffParam1,
BTL_PouchBuffSet,PBuff2,PouchBuff,PBuffParam2,
BTL_PouchBuffSet,PBuff3,PouchBuff,PBuffParam3,
BTL_Reaction,Name,Message,btl_buff_ms,
BTL_Skill_Bl,Enhance*,Reference,BTL_Enhance,
BTL_Skill_Bl,Name,Message,btl_skill_bl_name,
BTL_Skill_Dr,Enhance,Reference,BTL_Enhance,
BTL_Skill_Dr,Name,Message,btl_skill_dr_name,
BTL_Skill_Dr_Table*,SkillID,Reference,BTL_Skill_Dr,
CHR_Bl,ArtsAchievement*,Reference,FLD_AchievementSet,
CHR_Bl,Atr,Reference,MNU_Msg_Attr,1
CHR_Bl,BArts*,Reference,BTL_Arts_Bl,
CHR_Bl,BartsEx*,Reference,BTL_Arts_BlSp,
CHR_Bl,BSkill*,Reference,BTL_Skill_Bl,
CHR_Bl,Condition,Reference,FLD_ConditionList,
CHR_Bl,DefWeapon,Reference,ITM_PcWpn,
CHR_Bl,FavoriteCategory*,Message,menu_favorite_category,-11
CHR_Bl,FavoriteItem*,Reference,ITM_FavoriteList,
CHR_Bl,FSkill*,Reference,FLD_FieldSkillList,
CHR_Bl,FskillAchivement*,Reference,FLD_AchievementSet,
CHR_Bl,Gender,Reference,MNU_Msg_Gender,
CHR_Bl,KeyAchievement,Reference,FLD_AchievementSet,
CHR_Bl,MerceName,Message,bld_mercename,
CHR_Bl,MnuCastName,Message,menu_cast_name,
CHR_Bl,MnuIlustName,Message,menu_ilust_name,
CHR_Bl,Name,Message,chr_bl_ms,
CHR_Bl,NArts*#,Reference,BTL_Buff,
CHR_Bl,Personality,Reference,BTL_Bl_Personality,
CHR_Bl,QuestRace,Reference,MNU_Msg_Race,
CHR_Bl,SkillAchievement*,Reference,FLD_AchievementSet,
CHR_Bl,sort*,Hide,,
CHR_Bl,WeaponType,Reference,ITM_PcWpnType,
CHR_Dr,Condition,Reference,FLD_ConditionList,
CHR_Dr,DefBlade*,Reference,CHR_Bl,
CHR_Dr,FavoriteCategory*,Message,menu_favorite_category,-11
CHR_Dr,FavoriteItem*,Reference,ITM_FavoriteList,
CHR_Dr,Gender,Reference,MNU_Msg_Gender,
CHR_Dr,Name,Message,chr_dr_ms,
CHR_DriverParam,ExtMountCond,Reference,FLD_ConditionList,
CHR_DriverParam,ExtMountNpc,Reference,RSC_NpcList,
CHR_EnArrange,BGMID,Reference,RSC_BgmList,
CHR_EnArrange,BladeID,Reference,CHR_Bl,
CHR_EnArrange,BookID,Reference,BTL_EnBook,
CHR_EnArrange,DropTableID*,Reference,BTL_EnDropItem,
CHR_EnArrange,EnemyBladeID,Reference,CHR_EnArrange,
CHR_EnArrange,EnhanceID*,Reference,BTL_Enhance,
CHR_EnArrange,Name,Message,fld_enemyname,
CHR_EnArrange,ParamID,Reference,CHR_EnParam,
CHR_EnArrange,ParamRev,Reference,CHR_EnParam_Rev,
CHR_EnArrange,PreciousID,Item,,
CHR_EnArrange,ZoneID,Reference,FLD_maplist,
CHR_EnParam,AiID,Reference,BTL_Ai,
CHR_EnParam,ArtsNum*,Reference,BTL_Arts_En,
